============================================================================
*****************************lnN!=NlnN+N验证********************************
============================================================================

取值范围1<N<10000
取点个数:1000
是否考虑右侧第三项(Y/N):n

N           lnN!              Approve           differ           1/RE_dif          1/N_re_dif
___________________________________________________________________________________________



0         0.000000            0.000000          0.000000           1.000000            0.000000

10         15.104413            13.025851          2.078562           7.266762            1.143001

20         42.335616            39.914645          2.420971           17.487040            1.097496

30         74.658236            72.035921          2.622315           28.470355            1.078324

40         110.320640            107.555178          2.765462           39.892306            1.067176

50         148.477767            145.601150          2.876617           51.615416            1.059687

60         188.628173            185.660674          2.967500           63.564682            1.054220

70         230.439044            227.394667          3.044377           75.693343            1.050008

80         273.673124            270.562131          3.110994           87.969687            1.046635

90         318.152640            314.982870          3.169769           100.370914            1.043856

100         363.739376            360.517019          3.222357           112.879914            1.041516

110         410.322777            407.052840          3.269936           125.483416            1.039511

120         457.812388            454.499009          3.313379           138.170855            1.037767

130         506.132825            502.779479          3.353347           150.933637            1.036234

140         555.220294            551.829939          3.390355           163.764649            1.034872

150         605.020106            601.595294          3.424812           176.657917            1.033651

160         655.484857            652.027810          3.457046           189.608355            1.032549

170         706.573062            703.085734          3.487328           202.611591            1.031547

180         758.248113            754.732233          3.515880           215.663825            1.030632

190         810.477463            806.934574          3.542889           228.761732            1.029791

200         863.231987            859.663473          3.568514           241.902376            1.029016

210         916.485471            912.892581          3.592889           255.083149            1.028297

220         970.214191            966.598060          3.616131           268.301720            1.027629

230         1024.396582            1020.758241          3.638341           281.555995            1.027006

240         1079.012947            1075.353342          3.659605           294.844084            1.026423

250         1134.045232            1130.365229          3.680002           308.164270            1.025876

260         1189.476824            1185.777224          3.699600           321.514993            1.025361

270         1245.292387            1241.573929          3.718458           334.894823            1.024875

280         1301.477720            1297.741089          3.736631           348.302451            1.024416

290         1358.019634            1354.265468          3.754166           361.736670            1.023982

300         1414.905850            1411.134742          3.771108           375.196367            1.023569

310         1472.124906            1468.337412          3.787493           388.680510            1.023177

320         1529.666078            1525.862719          3.803359           402.188144            1.022804

330         1587.519313            1583.700576          3.818737           415.718378            1.022448

340         1645.675166            1641.841510          3.833656           429.270383            1.022109

350         1704.124747            1700.276604          3.848143           442.843381            1.021784

360         1762.859673            1758.997451          3.862222           456.436647            1.021473

370         1821.872027            1817.996112          3.875915           470.049499            1.021174

380         1881.154319            1877.265076          3.889243           483.681297            1.020888

390         1940.699454            1936.797228          3.902226           497.331437            1.020613

400         2000.500698            1996.585819          3.914879           510.999351            1.020349

410         2060.551656            2056.624435          3.927220           524.684501            1.020094

420         2120.846243            2116.906979          3.939264           538.386379            1.019849

430         2181.378665            2177.427640          3.951025           552.104505            1.019612

440         2242.143395            2238.180880          3.962515           565.838421            1.019384

450         2303.135160            2299.161412          3.973748           579.587695            1.019163

460         2364.348918            2360.364185          3.984733           593.351915            1.018950

470         2425.779849            2421.784367          3.995482           607.130688            1.018743

480         2487.423335            2483.417330          4.006005           620.923642            1.018544

490         2549.274953            2545.258642          4.016311           634.730419            1.018350

500         2611.330458            2607.304049          4.026409           648.550681            1.018162

