============================================================================
*****************************lnN!=NlnN+N验证********************************
============================================================================

取值范围1<N<10000
取点个数:1000
是否考虑右侧第三项(Y/N):y

N           lnN!              Approve           differ           1/RE_dif          1/N_re_dif
___________________________________________________________________________________________



0         0.000000            0.000000          0.000000           1.000000            0.000000

10         15.104413            15.096082          0.008331           1813.132172            120.540594

20         42.335616            42.331450          0.004166           10161.394130            240.520335

30         74.658236            74.655459          0.002778           26877.960250            360.513561

40         110.320640            110.318556          0.002083           52955.010095            480.510172

50         148.477767            148.476100          0.001667           89087.847872            600.508138

60         188.628173            188.626785          0.001389           135813.542297            720.506782

70         230.439044            230.437853          0.001190           193570.113324            840.505813

80         273.673124            273.672083          0.001042           262727.567609            960.505087

90         318.152640            318.151714          0.000926           343606.264724            1080.504521

100         363.739376            363.738542          0.000833           436488.705564            1200.504069

110         410.322777            410.322019          0.000758           541627.556996            1320.503699

120         457.812388            457.811694          0.000694           659251.364552            1440.503391

130         506.132825            506.132184          0.000641           789568.764692            1560.503130

140         555.220294            555.219699          0.000595           932771.680283            1680.502906

150         605.020106            605.019550          0.000556           1089037.803492            1800.502712

160         655.484857            655.484336          0.000521           1258532.562730            1920.502542

170         706.573062            706.572572          0.000490           1441410.709091            2040.502393

180         758.248113            758.247650          0.000463           1637817.609047            2160.502261

190         810.477463            810.477024          0.000439           1847890.321526            2280.502142

200         863.231987            863.231571          0.000417           2071758.495758            2400.502035

210         916.485471            916.485074          0.000397           2309545.132011            2520.501938

220         970.214191            970.213813          0.000379           2561367.228912            2640.501850

230         1024.396582            1024.396219          0.000362           2827336.345999            2760.501769

240         1079.012947            1079.012600          0.000347           3107559.081703            2880.501692

250         1134.045232            1134.044898          0.000333           3402137.504802            3000.501623

260         1189.476824            1189.476503          0.000321           3711169.515180            3120.501561

270         1245.292387            1245.292078          0.000309           4034749.167168            3240.501498

280         1301.477720            1301.477422          0.000298           4372966.982873            3360.501442

290         1358.019634            1358.019347          0.000287           4725910.180036            3480.501389

300         1414.905850            1414.905572          0.000278           5093662.925263            3600.501342

310         1472.124906            1472.124637          0.000269           5476306.518296            3720.501292

320         1529.666078            1529.665818          0.000260           5873919.608091            3840.501243

330         1587.519313            1587.519061          0.000253           6286578.347901            3960.501197

340         1645.675166            1645.674921          0.000245           6714356.561686            4080.501164

350         1704.124747            1704.124509          0.000238           7157325.833328            4200.501132

360         1762.859673            1762.859442          0.000231           7615555.681538            4320.501093

370         1821.872027            1821.871802          0.000225           8089113.712449            4440.501068

380         1881.154319            1881.154100          0.000219           8578065.635886            4560.501049

390         1940.699454            1940.699240          0.000214           9082475.386699            4680.501019

400         2000.500698            2000.500490          0.000208           9602405.266204            4800.500975

410         2060.551656            2060.551453          0.000203           10137916.080401            4920.500955

420         2120.846243            2120.846045          0.000198           10689066.975955            5040.500918

430         2181.378665            2181.378471          0.000194           11255915.826887            5160.500895

440         2242.143395            2242.143206          0.000189           11838519.036117            5280.500868

450         2303.135160            2303.134975          0.000185           12436931.750258            5400.500835

460         2364.348918            2364.348737          0.000181           13051207.901186            5520.500807

