请输入N的范围:1<N<5000
请输入数据取点个数:500
请输入要保存的有效数字:6
方程右侧是否引入最后一项修正项?(N/Y):y

=========================================================================

N                      N!                    Appro_Val                    Differ                  1/(Rela_Differ)

0                      1E0                       0E0                       1E0                       1E0


10                      362880E1                       352106E1                       107737E0                       33E0


20                      243290E13                       237840E13                       544970E11                       44E0


30                      265252E27                       256609E27                       864384E25                       30E0


40                      815915E42                       810639E42                       527617E40                       154E0


50                      304140E59                       296243E59                       789782E57                       38E0


60                      832098E76                       823361E76                       873719E74                       95E0


70                      119785E95                       118702E95                       108364E93                       110E0


80                      715694E113                       711890E113                       380404E111                       188E0


90                      148571E133                       147696E133                       875261E130                       169E0


100                      933262E152                       930018E152                       324316E150                       287E0


110                      158824E173                       157956E173                       868153E170                       182E0


120                      668950E193                       658429E193                       105203E192                       63E0


130                      646685E214                       644458E214                       222746E212                       290E0


140                      134620E236                       133864E236                       755575E233                       178E0


150                      571338E257                       563404E257                       793370E255                       72E0


160                      471472E279                       463266E279                       820626E277                       57E0


170                      725741E301                       721301E301                       443963E299                       163E0


180                      200896E324                       200582E324                       313846E321                       640E0


190                      968032E346                       966165E346                       186634E344                       518E0


200                      788657E369                       778355E369                       103021E368                       76E0


210                      105823E393                       105036E393                       786953E390                       134E0


220                      228386E416                       228198E416                       187519E413                       1217E0


230                      775858E439                       775273E439                       585045E436                       1326E0


240                      406788E463                       398279E463                       850859E461                       47E0


250                      323285E487                       323046E487                       239479E484                       1349E0


260                      383019E511                       382056E511                       963063E508                       397E0


270                      666211E535                       663975E535                       223612E533                       297E0


280                      167722E560                       166785E560                       936812E557                       179E0


290                      603161E584                       595306E584                       785456E582                       76E0


300                      306057E609                       305452E609                       605160E606                       505E0


310                      216632E634                       216017E634                       614542E631                       352E0


320                      211610E659                       211098E659                       511888E656                       413E0


330                      282408E684                       282119E684                       289337E681                       976E0


340                      510086E709                       507534E709                       255169E707                       199E0


350                      123587E735                       122724E735                       863144E732                       143E0


360                      398316E760                       397667E760                       649521E757                       613E0


370                      169421E786                       168724E786                       696815E783                       243E0


380                      943931E811                       934256E811                       967561E809                       97E0


390                      684012E837                       678334E837                       567802E835                       120E0


400                      640345E863                       638518E863                       182630E861                       350E0


410                      769509E889                       760939E889                       857005E887                       89E0


420                      117983E916                       117140E916                       842372E913                       140E0


430                      229465E942                       228404E942                       106090E940                       216E0


440                      562994E968                       557086E968                       590796E966                       95E0


450                      173336E995                       172739E995                       596948E992                       290E0


460                      666328E1021                       658035E1021                       829265E1019                       80E0


470                      318275E1048                       317424E1048                       850288E1045                       374E0


480                      188030E1075                       187169E1075                       861242E1072                       218E0


490                      136787E1102                       135685E1102                       110128E1100                       124E0


500                      122013E1129                       121884E1129                       128968E1126                       946E0


510                      132907E1156                       132583E1156                       323886E1153                       410E0


520                      176104E1183                       175593E1183                       510835E1180                       344E0


530                      282768E1210                       281827E1210                       941660E1207                       300E0


540                      548231E1237                       547805E1237                       425702E1234                       1287E0


550                      127894E1265                       127219E1265                       675214E1262                       189E0


560                      357794E1292                       356825E1292                       968767E1289                       369E0


570                      119647E1320                       118718E1320                       929506E1317                       128E0


580                      476763E1347                       476024E1347                       739173E1344                       644E0


590                      225693E1375                       224984E1375                       709685E1372                       318E0


600                      126557E1403                       125736E1403                       820821E1400                       154E0


610                      838261E1430                       828265E1430                       999568E1428                       83E0


620                      654052E1458                       649743E1458                       430914E1456                       151E0


630                      599570E1486                       599181E1486                       388788E1483                       1542E0


640                      644097E1514                       639838E1514                       425831E1512                       151E0


650                      808855E1542                       798820E1542                       100344E1541                       80E0


660                      118455E1571                       118024E1571                       431106E1568                       274E0


670                      201834E1599                       201065E1599                       769640E1596                       262E0


680                      399218E1627                       398943E1627                       274871E1624                       1452E0


690                      914633E1655                       905471E1655                       916221E1653                       99E0


700                      242204E1684                       241119E1684                       108415E1682                       223E0


710                      739802E1712                       731005E1712                       879613E1710                       84E0


720                      260121E1741                       259297E1741                       823897E1738                       315E0


730                      105079E1770                       104272E1770                       807057E1767                       130E0


740                      486755E1798                       486362E1798                       393163E1795                       1238E0


750                      258080E1827                       257055E1827                       102522E1825                       251E0


760                      156339E1856                       156089E1856                       250082E1853                       625E0


770                      108016E1885                       107362E1885                       653873E1882                       165E0


780                      849723E1913                       849556E1913                       167454E1910                       5074E0


790                      759819E1942                       755179E1942                       464085E1940                       163E0


800                      771053E1971                       761969E1971                       908391E1969                       84E0


810                      886568E2000                       882355E2000                       421273E1998                       210E0


