请输入N的范围:1<N<700
请输入数据取点个数:700
请输入要保存的有效数字:6
方程右侧是否引入最后一项修正项?(N/Y):n

=========================================================================

N                      N!                    Appro_Val                    Differ                  1/(Rela_Differ)

0                      1E0                       1E0                       0E0                       0E0


1                      1E0                       0E0                       1E0                       1E0


2                      2E0                       0E0                       2E0                       1E0


3                      6E0                       1E0                       5E0                       1E0


4                      24E0                       4E0                       20E0                       1E0


5                      120E0                       21E0                       99E0                       1E0


6                      720E0                       115E0                       605E0                       1E0


7                      5040E0                       751E0                       4289E0                       1E0


8                      40320E0                       5629E0                       34691E0                       1E0


9                      362880E0                       47811E0                       315069E0                       1E0


10                      362880E1                       454008E0                       317479E1                       1E0


11                      399168E2                       476520E1                       351515E2                       1E0


12                      479001E3                       547826E2                       424218E3                       1E0


13                      622702E4                       684598E3                       554242E4                       1E0


14                      871782E5                       923995E4                       779383E5                       1E0


15                      130767E7                       133952E6                       117372E7                       1E0


16                      209227E8                       207590E7                       188468E8                       1E0


17                      355687E9                       342472E8                       321440E9                       1E0


18                      640237E10                       599244E9                       580312E10                       1E0


19                      121645E12                       110846E11                       110560E12                       1E0


20                      243290E13                       216127E12                       221677E13                       1E0


21                      510909E14                       443017E13                       466607E14                       1E0


22                      112400E16                       952402E14                       102876E16                       1E0


23                      258520E17                       214272E16                       237092E17                       1E0


24                      620448E18                       503503E17                       570098E18                       1E0


25                      155112E20                       123349E19                       142777E20                       1E0


26                      403291E21                       314521E20                       371839E21                       1E0


27                      108888E23                       833432E21                       100554E23                       1E0


28                      304888E24                       229181E23                       281970E24                       1E0


29                      884176E25                       653133E24                       818862E25                       1E0


30                      265252E27                       192665E26                       245986E27                       1E0


31                      822283E28                       587602E27                       763523E28                       1E0


32                      263130E30                       185086E29                       244622E30                       1E0


33                      868331E31                       601508E30                       808180E31                       1E0


34                      295232E33                       201498E32                       275082E33                       1E0


35                      103331E35                       695143E33                       963800E34                       1E0


36                      371993E36                       246767E35                       347316E36                       1E0


37                      137637E38                       900674E36                       128630E38                       1E0


38                      523022E39                       337743E38                       489248E39                       1E0


39                      203978E41                       130027E40                       190976E41                       1E0


40                      815915E42                       513594E41                       764555E42                       1E0


41                      334525E44                       208000E43                       313725E44                       1E0


42                      140500E46                       863181E44                       131868E46                       1E0


43                      604152E47                       366843E46                       567468E47                       1E0


44                      265827E49                       159573E48                       249869E49                       1E0


